test,Date,Time,Activity,Market,Direction,Quantity,Price,Currency,Consideration,Commission,Charges,Cost/Proceeds,Conversion rate,Order type,Venue ID,Settled?,Settlement date,Order ID
,29/07/2021,3:26:17,TRADE,Imugene Limited,BUY,5840,0.3,AUD,-1752,-4.55,-0.45,-1757,1,LIMIT,XOFF,Y,2/8/2021,M8D48:1291741~2192
,26/07/2021,4:00:46,TRADE,Pilbara Minerals Limited,SELL,-1000,1.7625,AUD,1762.5,-4.55,-0.45,-1757.5,1,LIMIT,XOFF,Y,28/07/2021,M8D48:1291064~3662
,21/07/2021,3:55:07,TRADE,Imugene Limited,BUY,5835,0.33,AUD,-1925.55,-4.55,-0.45,-1930.55,1,LIMIT,XOFF,Y,23/07/2021,M8D48:1289256~3134
,21/07/2021,3:52:03,TRADE,Westpac Banking Corp,BUY,161,24.72,AUD,-3979.92,-4.55,-0.45,-3984.92,1,LIMIT,XOFF,Y,23/07/2021,M8D48:1289259~3091
,16/07/2021,5:22:23,TRADE,NEXTDC Ltd,SELL,-472,12.54,AUD,5918.88,-4.55,-0.45,-5913.88,1,LIMIT,XOFF,Y,20/07/2021,M8D48:1286635~3456
,16/07/2021,3:43:42,TRADE,Flight Centre Travel Group Ltd,BUY,192,15.06,AUD,-2891.52,-4.55,-0.45,-2896.52,1,LIMIT,XOFF,Y,20/07/2021,M8D48:1286635~2627
,15/07/2021,6:35:46,TRADE,Spark Infrastructure Group,SELL,-1108,2.62,AUD,2902.96,-4.55,-0.45,-2897.96,1,LIMIT,XOFF,Y,19/07/2021,M8D48:1286634~5960
,12/7/2021,2:55:21,TRADE,Spark Infrastructure Group,BUY,1109,2.25,AUD,-2495.25,-4.55,-0.45,-2500.25,1,LIMIT,XOFF,Y,14/07/2021,M8D48:1285293~2268
,25/06/2021,1:24:35,TRADE,Imugene Limited,BUY,4265,0.365,AUD,-1556.73,-7.27,-0.73,-1564.73,1,LIMIT,XOFF,Y,29/06/2021,M8D48:1271541~826
,23/06/2021,3:02:10,TRADE,Pilbara Minerals Limited,SELL,-1000,1.53,AUD,1530,-7.27,-0.73,-1522,1,LIMIT,XOFF,Y,25/06/2021,M8D48:1269563~2155
,18/06/2021,5:42:54,TRADE,Imugene Limited,BUY,4073,0.34,AUD,-1384.82,-7.27,-0.73,-1392.82,1,LIMIT,XOFF,Y,22/06/2021,M8D48:1264973~4487
,18/06/2021,5:42:10,TRADE,Flight Centre Travel Group Ltd,SELL,-86,16.05,AUD,1380.3,-7.27,-0.73,-1372.3,1,LIMIT,XOFF,Y,22/06/2021,M8D48:1264973~4483
,7/6/2021,6:39:18,TRADE,Flight Centre Travel Group Ltd,BUY,86,15.2,AUD,-1307.2,-7.27,-0.73,-1315.2,1,LIMIT,XOFF,Y,9/6/2021,M8D48:1257841~3516
,3/6/2021,2:41:43,TRADE,Pilbara Minerals Limited,SELL,-1000,1.3,AUD,1300,-7.27,-0.73,-1292,1,LIMIT,XOFF,Y,7/6/2021,M8D48:1254769~1403
,29/03/2021,0:22:20,TRADE,Westpac Banking Corp,BUY,73,24.56,AUD,-1792.88,-4.54,-0.45,-1797.87,1,LIMIT,XOFF,Y,31/03/2021,M8D48:1212516~608
,23/03/2021,1:13:54,TRADE,Flight Centre Travel Group Ltd,SELL,-50,19.21,AUD,960.5,-4.54,-0.45,-955.51,1,LIMIT,XOFF,Y,25/03/2021,M8D48:1208718~1316
,10/3/2021,3:49:01,TRADE,Flight Centre Travel Group Ltd,SELL,-50,17.71,AUD,885.5,-4.54,-0.45,-880.51,1,LIMIT,XOFF,Y,12/3/2021,M8D48:1202291~3312
,8/3/2021,23:07:26,TRADE,NEXTDC Ltd,BUY,92,10.8,AUD,-993.6,-4.54,-0.45,-998.59,1,LIMIT,XOFF,Y,10/3/2021,M8D48:1199873~1059
,12/2/2021,1:26:13,TRADE,Webjet Ltd,BUY,379,4.69,AUD,-1777.51,-4.54,-0.45,-1782.5,1,LIMIT,XOFF,Y,16/02/2021,M8D48:1184575~1560
,9/2/2021,1:34:39,TRADE,Mesoblast Limited,BUY,776,2.565,AUD,-1990.44,-4.54,-0.45,-1995.43,1,LIMIT,XOFF,Y,11/2/2021,M8D48:1182115~2235
,9/2/2021,23:43:39,TRADE,NEXTDC Ltd,SELL,-300,12.62,AUD,3786,-4.54,-0.45,-3781.01,1,LIMIT,XOFF,Y,11/2/2021,M8D48:1181231~48947
,25/01/2021,2:47:35,TRADE,Pilbara Minerals Limited,BUY,1328,1.19,AUD,-1580.32,-4.54,-0.45,-1585.31,1,LIMIT,XOFF,Y,28/01/2021,M8D48:1171100~3078
,21/01/2021,0:03:59,TRADE,Pilbara Minerals Limited,SELL,-1000,1.325,AUD,1325,-4.54,-0.45,-1320.01,1,LIMIT,XOFF,Y,25/01/2021,M8D48:1167456~105
,19/01/2021,6:56:51,TRADE,Pilbara Minerals Limited,BUY,562,0.36,AUD,-202.32,,0,-202.32,1,LIMIT,,Y,19/01/2021,Z8750-BL389531
,19/01/2021,6:55:04,CORPORATE ACTION,Pilbara Minerals Limited Rights Issue - Taken Up (Reserved Funds),SELL,-562,0.36,AUD,202.32,,0,-202.32,1,LIMIT,,Y,19/01/2021,Z8750-BL389303
,18/01/2021,0:11:01,CORPORATE ACTION,Pilbara Minerals Limited Rights Issue - Non Tradable,SELL,-562,0,AUD,0,,0,0,1,LIMIT,,Y,19/01/2021,Z8750-BL389005
,11/1/2021,23:23:16,TRADE,Flight Centre Travel Group Ltd,BUY,100,15.74,AUD,-1574,-4.54,-0.45,-1578.99,1,LIMIT,XOFF,Y,13/01/2021,M8D48:1163206~1915
,8/1/2021,7:48:30,CORPORATE ACTION,Pilbara Minerals Limited Rights Issue - Taken Up (Reserved Funds),BUY,562,0.36,AUD,-202.32,,0,-202.32,1,LIMIT,,Y,8/1/2021,Z8750-BL373261
,8/1/2021,0:37:26,TRADE,Pilbara Minerals Limited,SELL,-1000,1.11,AUD,1110,-4.54,-0.45,-1105.01,1,LIMIT,XOFF,Y,12/1/2021,M8D48:1161026~702
,5/1/2021,1:01:36,TRADE,Firefinch Limited,SELL,-3092,0.19,AUD,587.48,-4.54,-0.45,-582.49,1,LIMIT,XOFF,Y,7/1/2021,M8D48:1159410~962
,5/1/2021,23:15:06,TRADE,Mesoblast Limited,BUY,195,2.28,AUD,-444.6,-4.54,-0.45,-449.59,1,LIMIT,XOFF,Y,7/1/2021,M8D48:1159409~43833
,21/12/2020,2:02:01,CORPORATE ACTION,Pilbara Minerals Limited Rights Issue - Non Tradable,BUY,562,0,AUD,0,,0,0,1,LIMIT,,Y,21/12/2020,Z8750-BL364495
,18/12/2020,23:48,TRADE,Mesoblast Limited,BUY,385,2.66,AUD,-1024.1,-4.54,-0.45,-1029.09,1,LIMIT,XOFF,Y,22/12/2020,M8D48:1152748~27309
,10/12/2020,23:30:54,TRADE,Webjet Ltd,BUY,460,5.42,AUD,-2493.2,-4.54,-0.45,-2498.19,1,LIMIT,XOFF,Y,14/12/2020,M8D48:1145684~37046
,10/12/2020,23:30,TRADE,Pilbara Minerals Limited,SELL,-3000,0.8457,AUD,2537.1,-4.54,-0.45,-2532.11,1,LIMIT,XOFF,Y,14/12/2020,M8D48:1145684~37025
,4/12/2020,23:43:30,TRADE,Firefinch Limited,BUY,3093,0.16,AUD,-494.88,-4.54,-0.45,-499.87,1,LIMIT,XOFF,Y,8/12/2020,M8D48:1140728~33601
,30/11/2020,0:11:47,TRADE,Talga Resources Limited,BUY,251,1.975,AUD,-495.73,-4.54,-0.45,-500.72,1,LIMIT,XOFF,Y,2/12/2020,M8D48:1136714~173
,25/11/2020,0:18:13,TRADE,NEXTDC Ltd,BUY,74,11.605,AUD,-858.77,-4.54,-0.45,-863.76,1,LIMIT,XOFF,Y,27/11/2020,M8D48:1132185~457
,25/11/2020,0:17:32,TRADE,Mesoblast Limited,BUY,713,4.2,AUD,-2994.6,-4.54,-0.45,-2999.59,1,LIMIT,XOFF,Y,27/11/2020,M8D48:1132188~459
,24/11/2020,23:51:49,TRADE,Mesoblast Limited,SELL,-800,4.81,AUD,3848,-4.54,-0.45,-3843.01,1,LIMIT,XOFF,Y,26/11/2020,M8D48:1132183~40412
